,animal,sessionid,trialnumber,trial_block,lotterymag,lotteryprob,surebetmag,rewardreceived,lotterychoice,lotteryoutcome,musdose,region,choiceout,deltaEV,normdeltaEV,pstate1,pstate2,pstate3
27,2152,158487.0,43.0,43.0,2.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.9928566686585821,0.0069841754460670665,0.000159155895347636
28,2152,158487.0,45.0,45.0,8.0,0.55,3.0,64.0,1.0,1.0,0.0,ctrl,1.0,11.200000000000003,0.09589041095890412,0.9891565462460329,0.010769670250358692,7.378350360839875e-05
29,2152,158487.0,47.0,47.0,16.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,46.400000000000006,0.3972602739726028,0.9980823821847693,0.00187148412041876,4.613369481094045e-05
30,2152,158487.0,48.0,48.0,4.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.9977702089448014,0.0021966024363008585,3.31886188989925e-05
31,2152,158487.0,49.0,1.0,32.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,116.80000000000001,1.0,0.999950514008618,1.2889117921160522e-05,3.659687345964831e-05
32,2152,158487.0,50.0,2.0,16.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,46.400000000000006,0.3972602739726028,0.9892613360437813,0.010315658564829551,0.00042300539138735954
33,2152,158487.0,52.0,4.0,32.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,116.80000000000001,1.0,0.8711598542408138,0.1242167583963243,0.004623387362862508
34,2152,158487.0,53.0,5.0,4.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.7810021959915592,0.21034519824342884,0.008652605765012337
35,2152,158487.0,56.0,8.0,8.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,11.200000000000003,0.09589041095890412,0.6917400588574383,0.29254843107676615,0.015711510065794042
36,2152,158487.0,57.0,9.0,2.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.5717422068390068,0.39451293588560626,0.03374485727538426
37,2152,158487.0,60.0,12.0,4.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.4559120301868464,0.48367236670514696,0.06041560310801029
38,2152,158487.0,62.0,14.0,4.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.33738797105927737,0.5571328968020913,0.10547913213862796
39,2152,158487.0,63.0,15.0,2.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,-15.2,-0.13013698630136986,0.21428919664271967,0.6049152601948148,0.180795543162467
40,2152,158487.0,65.0,17.0,16.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,46.400000000000006,0.3972602739726028,0.11226549473075398,0.6987662229904376,0.18896828227880505
41,2152,158487.0,66.0,18.0,32.0,0.55,3.0,256.0,1.0,1.0,0.0,ctrl,1.0,116.80000000000001,1.0,0.08645412462184149,0.7190379695139952,0.1945079058641665
42,2152,158487.0,68.0,20.0,0.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.06619081240086874,0.734085646756824,0.19972354084230673
43,2152,158487.0,71.0,23.0,2.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.04540998186539936,0.747534797345827,0.20705522078877706
44,2152,158487.0,72.0,24.0,8.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,11.200000000000003,0.09589041095890412,0.023603523690937666,0.758098908091097,0.21829756821796611
45,2152,158487.0,73.0,25.0,16.0,0.55,3.0,128.0,1.0,1.0,0.0,ctrl,1.0,46.400000000000006,0.3972602739726028,0.019658673239877324,0.7599243133129926,0.22041701344712922
46,2152,158487.0,76.0,28.0,2.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.02592024432167259,0.7519388048285436,0.222140950849782
47,2152,158487.0,78.0,30.0,32.0,0.55,3.0,256.0,1.0,1.0,0.0,ctrl,1.0,116.80000000000001,1.0,0.030738866316991405,0.7425925016085426,0.22666863207446725
48,2152,158487.0,79.0,31.0,0.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.03666184376030781,0.7324193766051511,0.23091877963454308
49,2152,158487.0,80.0,32.0,2.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-15.2,-0.13013698630136986,0.04139413954159918,0.7214882375765976,0.2371176228818019
50,2152,158487.0,82.0,34.0,4.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.044802551936591134,0.7083481279534704,0.24684932010993663
51,2152,158487.0,83.0,35.0,8.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,11.200000000000003,0.09589041095890412,0.04638361284216283,0.6903173946938419,0.26329899246399413
52,2152,158487.0,86.0,38.0,0.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.04215532745301671,0.6608956504998184,0.2969490220471654
53,2152,158487.0,87.0,39.0,32.0,0.55,3.0,0.0,1.0,0.0,0.0,ctrl,-1.0,116.80000000000001,1.0,0.03676680780177082,0.6253097792283909,0.3379234129698383
54,2152,158487.0,88.0,40.0,0.0,0.55,3.0,24.0,0.0,1.0,0.0,ctrl,0.0,-24.0,-0.2054794520547945,0.033043775732350775,0.5887386586826241,0.37821756558502667
55,2152,158487.0,89.0,41.0,4.0,0.55,3.0,24.0,0.0,0.0,0.0,ctrl,0.0,-6.399999999999999,-0.05479452054794519,0.02817793507023494,0.5445785403316677,0.4272435245980977
